BitQuan-main-19/COMPLETE_SUCCESS_REPORT_TH.md:238:16: unwrap(): 📅 Day 1-2: แก้ unwrap() ใน wallet + node
BitQuan-main-19/COMPLETE_SUCCESS_REPORT_TH.md:242:16: unwrap(): 📅 Day 3-4: แก้ unwrap() ใน consensus + mempool
BitQuan-main-19/SECURITY_AUDIT_REPORT.md:28:24: unwrap(): - ⚠️ Reduce production unwrap() usage (358 → target <50)
BitQuan-main-19/SECURITY_AUDIT_REPORT.md:206:14: unwrap(): - ⚠️ **358** unwrap() calls outside tests
BitQuan-main-19/SECURITY_AUDIT_REPORT.md:207:13: panic!(...): - ⚠️ **11** panic!() calls outside tests
BitQuan-main-19/SECURITY_AUDIT_REPORT.md:323:13: unwrap(): 1. **Reduce unwrap() usage in critical paths**
BitQuan-main-19/SECURITY_AUDIT_REPORT.md:405:11: unwrap(): 1. Reduce unwrap() usage (critical)
BitQuan-main-19/MAINNET_READINESS_REPORT.md:19:20: unwrap(): - **Current:** 344 unwrap() in production code
BitQuan-main-19/SECURITY_SUMMARY_TH.md:79:16: unwrap(): **ปัญหา:** มี `unwrap()` เยอะ (358 จุด) ที่อาจทำให้ panic
BitQuan-main-19/SECURITY_SUMMARY_TH.md:86:19: unwrap(): **วิธีแก้:** แปลง unwrap() เป็น proper error handling
BitQuan-main-19/SECURITY_SUMMARY_TH.md:165:11: unwrap(): - [ ] แก้ unwrap() ใน critical paths (1-2 สัปดาห์)
BitQuan-main-19/SECURITY_SUMMARY_TH.md:191:14: unwrap(): ⚠️ **ต้องแก้ unwrap() ก่อน**
BitQuan-main-19/SECURITY_SUMMARY_TH.md:193:7: unwrap(): 1. ลด unwrap() จาก 358 → <50 จุด
BitQuan-main-19/SECURITY_SUMMARY_TH.md:200:22: unwrap(): สัปดาห์ที่ 1-2:  แก้ unwrap() ใน critical paths
BitQuan-main-19/SECURITY_SUMMARY_TH.md:258:15: unwrap(): 2. ⚠️ ต้องแก้ unwrap() ก่อน mainnet (2-3 สัปดาห์)
BitQuan-main-19/PHASE7_AND_P0_COMPLETE.md:159:27: unwrap(): Eliminate all production `unwrap()`, `expect()`, and `panic!()` calls in BitQuan's critical paths.
BitQuan-main-19/PHASE7_AND_P0_COMPLETE.md:159:39: expect(...): Eliminate all production `unwrap()`, `expect()`, and `panic!()` calls in BitQuan's critical paths.
BitQuan-main-19/PHASE7_AND_P0_COMPLETE.md:159:55: panic!(...): Eliminate all production `unwrap()`, `expect()`, and `panic!()` calls in BitQuan's critical paths.
BitQuan-main-19/PHASE7_AND_P0_COMPLETE.md:196:37: expect(...): getrandom::getrandom(&mut salt).expect("OS RNG failure");  // ❌ Panics!
BitQuan-main-19/ROADMAP.md:889:18: unwrap(): - ✅ Audited all `unwrap()`/`expect()`/`panic!()` usage in production code
BitQuan-main-19/ROADMAP.md:889:29: expect(...): - ✅ Audited all `unwrap()`/`expect()`/`panic!()` usage in production code
BitQuan-main-19/ROADMAP.md:889:40: panic!(...): - ✅ Audited all `unwrap()`/`expect()`/`panic!()` usage in production code
BitQuan-main-19/CODE_AUDIT_REPORT.md:310:32: expect(...): let sig = secp.sign(&msg, &sk).expect("signing failed");
BitQuan-main-19/FINAL_EXECUTION_REPORT.md:181:15: unwrap(): #### Day 1-2: unwrap() Elimination Sprint
BitQuan-main-19/FINAL_EXECUTION_REPORT.md:197:27: unwrap(): let value = map.get(&key).unwrap();
BitQuan-main-19/PUSH_READY_SUMMARY.md:147:16: unwrap(): 📅 Day 1-2: แก้ unwrap() ใน wallet + node (69 unwrap)
BitQuan-main-19/PUSH_READY_SUMMARY.md:148:16: unwrap(): 📅 Day 3-4: แก้ unwrap() ใน consensus + mempool (48 unwrap)
BitQuan-main-19/PHASE6_COMPLETE.md:52:9: unwrap(): - ✅ 20 `unwrap()` → proper error handling
BitQuan-main-19/SECURITY.md:94:16: unwrap(): All remaining `unwrap()`/`expect()` calls have explicit SAFETY comments explaining why they cannot fail.
BitQuan-main-19/SECURITY.md:94:27: expect(...): All remaining `unwrap()`/`expect()` calls have explicit SAFETY comments explaining why they cannot fail.
BitQuan-main-19/tools/unsafe_calls.rg.txt:1:67: unwrap(): crates/consensus/src/utxo.rs:405:        utxo_set.add_utxo(entry).unwrap();
BitQuan-main-19/tools/unsafe_calls.rg.txt:2:47: unwrap(): crates/consensus/src/utxo.rs:424:            .unwrap();
BitQuan-main-19/tools/unsafe_calls.rg.txt:3:47: unwrap(): crates/consensus/src/utxo.rs:450:            .unwrap();
BitQuan-main-19/tools/unsafe_calls.rg.txt:4:47: unwrap(): crates/consensus/src/utxo.rs:473:            .unwrap();
BitQuan-main-19/tools/unsafe_calls.rg.txt:5:47: unwrap(): crates/consensus/src/utxo.rs:498:            .unwrap();
BitQuan-main-19/tools/unsafe_calls.rg.txt:6:99: unwrap(): crates/consensus/src/utxo.rs:501:        let result = utxo_set.apply_transaction(&tx, 101, false).unwrap();
BitQuan-main-19/tools/unsafe_calls.rg.txt:7:47: unwrap(): crates/consensus/src/utxo.rs:680:            .unwrap();
BitQuan-main-19/tools/unsafe_calls.rg.txt:8:47: unwrap(): crates/consensus/src/utxo.rs:707:            .unwrap();
BitQuan-main-19/tools/unsafe_calls.rg.txt:9:84: unwrap(): crates/storage/src/rocksdb_store.rs:599:        let temp_dir = tempfile::tempdir().unwrap();
BitQuan-main-19/tools/unsafe_calls.rg.txt:10:101: unwrap(): crates/storage/src/rocksdb_store.rs:600:        let mut store = RocksDBStore::open(temp_dir.path()).unwrap();
BitQuan-main-19/tools/unsafe_calls.rg.txt:11:83: unwrap(): crates/storage/src/rocksdb_store.rs:639:        store.insert_block(block.clone()).unwrap();
BitQuan-main-19/tools/unsafe_calls.rg.txt:12:75: unwrap(): crates/storage/src/rocksdb_store.rs:642:        assert_eq!(store.height().unwrap(), 1);
BitQuan-main-19/tools/unsafe_calls.rg.txt:12:49: assert_eq/ne!(...): crates/storage/src/rocksdb_store.rs:642:        assert_eq!(store.height().unwrap(), 1);
BitQuan-main-19/tools/unsafe_calls.rg.txt:13:71: unwrap(): crates/storage/src/rocksdb_store.rs:645:        let tip = store.tip().unwrap().unwrap();
BitQuan-main-19/tools/unsafe_calls.rg.txt:13:80: unwrap(): crates/storage/src/rocksdb_store.rs:645:        let tip = store.tip().unwrap().unwrap();
BitQuan-main-19/tools/unsafe_calls.rg.txt:14:94: unwrap(): crates/storage/src/rocksdb_store.rs:649:        let retrieved = store.get_block_by_height(1).unwrap().unwrap();
